accession_number,book_url
9160,https://lib.bsu.edu/wmr/book_record.php?ID=7932
9161,https://lib.bsu.edu/wmr/book_record.php?ID=7933
9162,https://lib.bsu.edu/wmr/book_record.php?ID=7934
9164,https://lib.bsu.edu/wmr/book_record.php?ID=7945
9165,https://lib.bsu.edu/wmr/book_record.php?ID=7954
9166,https://lib.bsu.edu/wmr/book_record.php?ID=7956
9167,https://lib.bsu.edu/wmr/book_record.php?ID=7957
9168,https://lib.bsu.edu/wmr/book_record.php?ID=7958
9169,https://lib.bsu.edu/wmr/book_record.php?ID=7959
9170,https://lib.bsu.edu/wmr/book_record.php?ID=8149
9172,https://lib.bsu.edu/wmr/book_record.php?ID=8151
9173,https://lib.bsu.edu/wmr/book_record.php?ID=8152
9175,https://lib.bsu.edu/wmr/book_record.php?ID=8155
9177,https://lib.bsu.edu/wmr/book_record.php?ID=8158
9182,https://lib.bsu.edu/wmr/book_record.php?ID=8178
9186,https://lib.bsu.edu/wmr/book_record.php?ID=8271
9188,https://lib.bsu.edu/wmr/book_record.php?ID=8276
9189,https://lib.bsu.edu/wmr/book_record.php?ID=8278
9190,https://lib.bsu.edu/wmr/book_record.php?ID=8279
9191,https://lib.bsu.edu/wmr/book_record.php?ID=8281
9196,https://lib.bsu.edu/wmr/book_record.php?ID=8299
9198,https://lib.bsu.edu/wmr/book_record.php?ID=8301
9200,https://lib.bsu.edu/wmr/book_record.php?ID=8366
9201,https://lib.bsu.edu/wmr/book_record.php?ID=8367
9202,https://lib.bsu.edu/wmr/book_record.php?ID=8368
9204,https://lib.bsu.edu/wmr/book_record.php?ID=8373
9205,https://lib.bsu.edu/wmr/book_record.php?ID=8374
9207,https://lib.bsu.edu/wmr/book_record.php?ID=8393
9208,https://lib.bsu.edu/wmr/book_record.php?ID=8437
9209,https://lib.bsu.edu/wmr/book_record.php?ID=8438
9210,https://lib.bsu.edu/wmr/book_record.php?ID=8439
9211,https://lib.bsu.edu/wmr/book_record.php?ID=8440
9212,https://lib.bsu.edu/wmr/book_record.php?ID=8441
9213,https://lib.bsu.edu/wmr/book_record.php?ID=8442
9214,https://lib.bsu.edu/wmr/book_record.php?ID=8443
9215,https://lib.bsu.edu/wmr/book_record.php?ID=8444
9216,https://lib.bsu.edu/wmr/book_record.php?ID=8446
9217,https://lib.bsu.edu/wmr/book_record.php?ID=8445
9218,https://lib.bsu.edu/wmr/book_record.php?ID=8566
9219,https://lib.bsu.edu/wmr/book_record.php?ID=8568
9222,https://lib.bsu.edu/wmr/book_record.php?ID=8578
9223,https://lib.bsu.edu/wmr/book_record.php?ID=8581
9227,https://lib.bsu.edu/wmr/book_record.php?ID=8601
9228,https://lib.bsu.edu/wmr/book_record.php?ID=8689
9230,https://lib.bsu.edu/wmr/book_record.php?ID=8693
9231,https://lib.bsu.edu/wmr/book_record.php?ID=8696
9232,https://lib.bsu.edu/wmr/book_record.php?ID=8699
9417,https://lib.bsu.edu/wmr/book_record.php?ID=10627
